IssueType, Summary, Description
task, [API] Bulk burn with a wrong date format, "API_URL: /loyalty/v1/rewards/burn
Expected Status: KO"
task, [API] Bulk grant with a wrong date format, "API_URL: /loyalty/v1/rewards/burn
Expected Status: KO"
task, [API] Bulk grant with an already granted attribution id + not granted one, "API_URL: /loyalty/v1/rewards/burn,
Expected Status: Partially OK"
task, [API] Burn a reward with a burned date before granted date, "API_URL: /loyalty/v1/reward-attributions/{{attr id}}/burn
Expected Status: KO"
task, [API] Burn a reward with a burned date in the future, "API_URL: /loyalty/v1/reward-attributions/{{attr id}}/burn
Expected Status: OK"
task, [API] Burn a reward with a burned date in the past, "API_URL: /loyalty/v1/reward-attributions/{{attr id}}/burn
Expected Status: OK"
task, [API] Burn a reward with an unknown cardcode, "API_URL: /loyalty/v1/reward-attributions/{{attr id}}/burn
Expected Status: KO"
task, [API] Burn an already burned reward, "API_URL: /loyalty/v1/reward-attributions/{{attr id}}/burn
Expected Status: KO"
task, [API] Burn an attribution with a cardcode different than the granted one, "API_URL: /loyalty/v1/reward-attributions/{{attr id}}/burn
Expected Status: KO"
task, [API] Burn reward, "API_URL: /loyalty/v1/reward-attributions/{{attr id}}/burn
Expected Status: OK"
task, [API] Burn with a wrong date format, "API_URL: /loyalty/v1/reward-attributions/{{attr id}}/burn
Expected Status: KO"
task, [API] Create reward master, "API_URL: /loyalty/v1/rewards
Expected Status: OK"
task, [API] Generate more new instances than stock (force hot stock),"API_URL: /loyalty/rewards/{{reward_id}}/instances/generate
Expected Status: KO"
task, [API] Generate more new instances than stock with force option (force hot stock),"API_URL: /loyalty/rewards/{{reward_id}}/instances/generate
Expected Status: OK"
task, [API] Generate new instances (force hot stock),"API_URL: /loyalty/rewards/{{reward_id}}/instances/generate
Expected Status: OK"
task, [API] Grant & burn at the same time ,"API_URL: /loyalty/v1/rewards/{{reward_id}}/grant
Expected Status: OK"
task, [API] Grant & burn at the same time BULK,"API_URL: /loyalty/v1/rewards/grant
Expected Status: OK"
task, [API] Grant RE#1 with a new attribution id,"API_URL: /loyalty/v1/rewards/{{reward_id}}/grant
Expected Status: OK"
task, [API] Grant RE#1 with a quantity,"API_URL: /loyalty/v1/rewards/{{reward_id}}/grant
Expected Status: OK"
task, [API] Grant RE#2 with a new attribution id,"API_URL: /loyalty/v1/rewards/{{reward_id}}/grant
Expected Status: OK"
task, [API] Grant RE#2 with a quantity,"API_URL: /loyalty/v1/rewards/{{reward_id}}/grant
Expected Status: OK"
task, [API] Grant RE#3 with a known attribution id (in stock),"API_URL: /loyalty/v1/rewards/{{reward_id}}/grant
Expected Status: OK"
task, [API] Grant RE#3 with a new attribution id,"API_URL: /loyalty/v1/rewards/{{reward_id}}/grant
Expected Status: ?"
task, [API] Grant RE#3 with a quantity,"API_URL: /loyalty/v1/rewards/{{reward_id}}/grant
Expected Status: OK"
task, [API] Grant RE#4 with a known attribution id (in stock),"API_URL: /loyalty/v1/rewards/{{reward_id}}/grant
Expected Status: OK"
task, [API] Grant RE#4 with a new attribution id,"API_URL: /loyalty/v1/rewards/{{reward_id}}/grant
Expected Status: ?"
task, [API] Grant RE#4 with a quantity,"API_URL: /loyalty/v1/rewards/{{reward_id}}/grant
Expected Status: OK"
task, [API] Grant reward & check stock,"API_URL: /loyalty/v1/rewards/{{reward_id}}/grant
Expected Status: OK"
task, [API] Grant reward master BULK,"API_URL: /loyalty/v1/rewards/grant
Expected Status: OK"
task, [API] Grant reward master single,"API_URL: /loyalty/v1/rewards/{{reward_id}}/grant
Expected Status: OK"
task, [API] Grant reward to an unknown card code,"API_URL: /loyalty/v1/rewards/{{reward_id}}/grant
Expected Status: KO"
task, [API] Grant reward with attribution id + quantity,"API_URL: /loyalty/v1/rewards/{{reward_id}}/grant
Expected Status: KO"
task, [API] Grant reward with granted date in the future,"API_URL: /loyalty/v1/rewards/{{reward_id}}/grant
Expected Status: OK"
task, [API] Grant reward with granted date in the past,"API_URL: /loyalty/v1/rewards/{{reward_id}}/grant
Expected Status: OK"
task, [API] Grant reward with type != '',"API_URL: /loyalty/v1/rewards/{{reward_id}}/grant
Expected Status: KO"
task, [API] Grant several time the same extid in the same bulk,"API_URL: /loyalty/v1/rewards/grant,
Expected Status: Partially OK"
task, [API] Grant specifying expiration date,"API_URL: /loyalty/v1/rewards/{{reward_id}}/grant
Expected Status: OK"
